Date,actual,predicted
2025-09-16,16364.599609375,15861.851030248481
2025-09-17,16398.099609375,15864.065707893371
2025-09-18,16418.599609375,15863.481474045788
2025-09-19,16569.099609375,15861.867827540567
2025-09-22,16637.0,15855.061117660847
2025-09-23,16582.0,15857.182139714023
2025-09-24,16633.0,15860.930145016824
2025-09-25,16695.099609375,15863.242191689464
2025-09-26,16759.099609375,15873.09229375199
2025-09-29,16723.0,15866.586048018977
2025-09-30,16628.0,15880.319923085408
2025-10-01,16683.0,15878.057041379081
2025-10-02,16644.099609375,15870.503733502945
2025-10-03,16601.5,15873.977771768345
2025-10-06,16558.0,15869.360824490273
2025-10-07,16596.5,15865.781820519152
2025-10-08,16587.0,15883.166609100394
2025-10-09,16556.0,15875.564316002772
2025-10-10,16577.69921875,15877.599853626103
2025-10-13,16598.0,15900.917515427134
2025-10-14,16548.0,15859.24321652914
2025-10-15,16585.900390625,15889.982674070066
2025-10-16,16575.0,15879.46659849252
2025-10-17,16561.900390625,15900.864316125466
2025-10-20,16566.0,15868.392456775184
2025-10-21,16542.0,15852.49817590204
2025-10-22,16598.900390625,15862.963609206321
2025-10-23,16596.599609375,15862.88190324443
2025-10-24,16593.80078125,15861.724322368305
2025-10-27,16597.80078125,15849.941088927562
2025-10-28,16158.2001953125,15844.756748736283
2025-10-29,16561.779296875,15875.838362893639
2025-10-30,16562.0,15861.027349418066
2025-10-31,16150.0,15871.230929166888
2025-11-03,16630.0,15861.558713786064
2025-11-04,16640.900390625,15856.205134471726
2025-11-05,16707.0,15882.722490334329
2025-11-06,16669.0,15867.827917658044
2025-11-07,16694.099609375,15893.688767448579
2025-11-10,16653.0,15887.412186931288
2025-11-11,16690.0,15870.894870891934
2025-11-12,16694.900390625,15883.397771717026
2025-11-13,16729.0,15878.117310704558
2025-11-14,16719.0,15900.414353317443
2025-11-17,16679.5,15897.314784180877
2025-11-18,16738.900390625,15908.952889866647
2025-11-19,16727.69921875,15935.42520858161
2025-11-20,16686.69921875,15929.112242274192
2025-11-21,16731.0,15961.17700600275
