feature,lag,correlation,abs_correlation
GOLD,45,-0.013916648453637263,0.013916648453637263
OIL,73,0.013909518130642456,0.013909518130642456
OIL,79,0.013875627744952603,0.013875627744952603
SP500,79,-0.013850564401517284,0.013850564401517284
CPI,51,0.01381950904961297,0.01381950904961297
SP500,88,0.013674210438117382,0.013674210438117382
IHSG,24,0.0135511224400632,0.0135511224400632
US_rate,35,0.013497756547092022,0.013497756547092022
IHSG,59,0.013398827263337947,0.013398827263337947
OIL,88,0.013340723577991627,0.013340723577991627
SP500,55,0.013277634558402788,0.013277634558402788
BI_rate,20,-0.013248668306646016,0.013248668306646016
IHSG,76,0.013220365971021976,0.013220365971021976
VIX,83,0.013206123007836927,0.013206123007836927
IHSG,52,0.013189905764605726,0.013189905764605726
BI_rate,7,0.013161012840572806,0.013161012840572806
IHSG,14,0.013132578144773178,0.013132578144773178
VIX,27,-0.01313048109815245,0.01313048109815245
OIL,55,0.013090515397939942,0.013090515397939942
US_rate,54,0.013090376495643043,0.013090376495643043
US_rate,13,-0.01307104722750244,0.01307104722750244
US_rate,73,-0.012840916132376848,0.012840916132376848
BI_rate,12,0.01279106149092072,0.01279106149092072
OIL,87,-0.012765951828177479,0.012765951828177479
US_rate,9,-0.012712024134561649,0.012712024134561649
BI_rate,84,-0.012701484241191299,0.012701484241191299
CPI,49,0.012569710066093453,0.012569710066093453
IHSG,30,0.012536519064218269,0.012536519064218269
OIL,54,-0.012478173482515141,0.012478173482515141
GOLD,25,-0.01247539619930746,0.01247539619930746
GOLD,84,-0.012465024349634677,0.012465024349634677
BI_rate,48,0.012454243971259703,0.012454243971259703
BI_rate,51,-0.012411795517818791,0.012411795517818791
OIL,43,-0.012410261940053437,0.012410261940053437
GOLD,66,0.012406340678367243,0.012406340678367243
VIX,18,0.012257478670088055,0.012257478670088055
OIL,17,0.01225631237451288,0.01225631237451288
GOLD,63,-0.012252573128508465,0.012252573128508465
VIX,36,-0.012220822078657004,0.012220822078657004
IHSG,31,0.012204151606325134,0.012204151606325134
GOLD,32,-0.012161093171306146,0.012161093171306146
OIL,61,0.012124710009721953,0.012124710009721953
IHSG,19,0.01210399686780533,0.01210399686780533
BI_rate,15,0.012099830410842692,0.012099830410842692
VIX,59,0.01206651360087531,0.01206651360087531
BI_rate,86,-0.012058883479755986,0.012058883479755986
SP500,34,-0.011998652719081458,0.011998652719081458
OIL,44,-0.011958420196892085,0.011958420196892085
CPI,1,0.011842992620885803,0.011842992620885803
US_rate,37,-0.011794151639132508,0.011794151639132508
GOLD,17,-0.011784462519204621,0.011784462519204621
SP500,42,0.011768354010312175,0.011768354010312175
IHSG,58,-0.011757558782602477,0.011757558782602477
OIL,40,0.011647855553807368,0.011647855553807368
IHSG,85,-0.011610742587758417,0.011610742587758417
BI_rate,59,-0.011607364197467095,0.011607364197467095
VIX,38,0.011543793570289318,0.011543793570289318
CPI,88,-0.011476078809930922,0.011476078809930922
GOLD,46,0.011460947613431572,0.011460947613431572
IHSG,28,0.01142477131449032,0.01142477131449032
US_rate,41,0.0112528575118086,0.0112528575118086
CPI,18,-0.01124517118476662,0.01124517118476662
IHSG,57,0.011240616883461493,0.011240616883461493
GOLD,70,0.011195445439191933,0.011195445439191933
BI_rate,11,0.011127568591624318,0.011127568591624318
SP500,75,0.011112200176969357,0.011112200176969357
OIL,67,0.01101811041189646,0.01101811041189646
VIX,12,0.010993968380328675,0.010993968380328675
BI_rate,13,0.010916271392088164,0.010916271392088164
CPI,76,-0.01082827637067537,0.01082827637067537
BI_rate,76,-0.010797123989192647,0.010797123989192647
VIX,61,-0.010763103331623402,0.010763103331623402
OIL,64,-0.010754176613739223,0.010754176613739223
